Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,season
Odilon Kossonou,CIV,DF,Leverkusen,Bundesliga,22,2001,14,7,668,7.4,0.0,0.14,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,48.2,57.6,83.8,780.0,278.4,0.14,0.41,3.78,0.27,0.14,3.92,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.95,0.81,0.54,0.27,0.14,1.62,0.54,1.08,0.95,1.89,3.65,0.0,68.1,6.22,25.5,36.4,6.76,0.54,68.1,0.81,0.27,33.3,0.54,66.7,35.4,173.0,100.3,1.35,1.22,0.0,1.62,0.81,40.7,1.22,0.0,0.0,0.0,0.41,0.27,0.14,0.41,0.81,0.0,0.0,0.0,7.16,1.76,1.22,59.1,2022-2023
Filip Kosti?,SRB,DFFW,Juventus,Serie A,30,1992,21,19,1484,16.5,2.0,1.33,0.42,31.8,0.09,0.29,19.1,0.0,0.0,0.0,29.9,42.9,69.6,503.3,164.3,0.3,2.24,1.94,1.82,1.21,2.97,3.27,2.48,0.48,0.12,0.18,0.0,0.0,0.42,0.3,0.0,0.0,0.12,0.0,0.0,1.76,1.21,0.73,0.79,0.24,1.03,0.06,0.97,0.36,2.12,0.79,0.0,52.6,1.03,7.52,21.8,23.8,1.88,52.6,1.33,0.42,31.8,0.73,54.5,27.8,153.3,81.7,3.21,1.58,0.73,2.12,0.48,33.8,7.76,0.06,0.0,0.0,1.45,0.36,0.0,8.0,1.21,0.0,0.0,0.0,5.15,0.36,0.42,46.2,2022-2023
Filip Kosti?,SRB,DFMF,Eint Frankfurt,Bundesliga,30,1992,1,1,74,0.8,0.0,1.25,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,28.8,50.0,57.5,586.3,325.0,0.0,1.25,1.25,1.25,0.0,5.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.25,1.25,0.0,0.0,0.0,0.0,1.25,3.75,0.0,0.0,56.3,0.0,12.5,20.0,25.0,3.75,56.3,3.75,1.25,33.3,1.25,33.3,28.8,215.0,131.3,3.75,1.25,1.25,0.0,1.25,28.8,3.75,1.25,0.0,0.0,1.25,1.25,0.0,8.75,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,2022-2023
Christian Kouam�,CIV,FW,Fiorentina,Serie A,25,1997,19,16,1347,15.0,2.0,2.2,0.73,33.3,0.06,0.18,14.0,0.07,0.0,0.0,24.2,34.0,71.2,361.9,83.1,0.13,1.87,1.53,1.6,0.4,2.87,4.13,3.2,0.0,0.27,0.27,0.4,0.0,0.27,0.2,0.0,0.07,0.0,0.0,0.0,1.07,0.8,0.4,0.27,0.4,0.87,0.2,0.67,0.8,1.87,0.2,0.0,48.1,0.27,3.87,16.0,28.7,5.73,48.1,3.53,1.0,28.3,1.93,54.7,29.5,154.3,70.7,2.87,1.53,1.27,3.87,2.07,35.8,10.7,0.2,0.0,0.0,1.67,3.0,0.2,2.4,0.8,0.07,0.0,0.0,4.87,2.93,2.6,53.0,2022-2023
Rominigue Kouam�,MLI,MF,Troyes,Ligue 1,26,1996,20,20,1701,18.9,0.0,0.9,0.16,17.6,0.0,0.0,21.8,0.0,0.0,0.0,40.6,45.9,88.5,720.2,193.1,0.05,0.74,5.29,0.37,0.11,5.98,2.28,2.06,0.0,0.11,0.05,0.05,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,1.27,0.85,0.9,0.26,0.11,1.11,0.42,0.69,1.9,3.17,1.53,0.0,56.7,4.29,17.1,32.7,8.41,0.63,56.7,2.38,1.48,62.2,0.63,26.7,45.0,293.9,132.8,2.33,1.8,0.16,1.32,1.06,39.4,1.16,0.21,0.0,0.0,1.64,1.85,0.0,0.21,0.85,0.0,0.0,0.0,7.88,0.37,0.69,35.0,2022-2023
Tom� Koubek,CZE,GK,Augsburg,Bundesliga,30,1992,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,41.5,65.1,1036.3,842.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,45.0,34.3,44.5,0.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,24.3,176.8,121.3,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,100.0,2022-2023
Kalidou Koulibaly,SEN,DF,Chelsea,Premier League,31,1991,14,12,1115,12.4,2.0,0.73,0.32,44.4,0.22,0.5,12.5,0.0,0.0,0.0,66.1,77.3,85.6,1156.0,446.0,0.0,0.4,4.6,0.4,0.0,4.35,1.29,1.05,0.0,0.0,0.08,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.02,1.29,1.37,0.48,0.16,1.13,0.24,0.89,1.45,3.47,3.31,0.0,87.1,7.58,39.8,43.5,4.35,1.21,87.1,0.48,0.32,66.7,0.16,33.3,55.2,252.3,130.9,0.73,0.65,0.0,0.65,0.08,63.7,0.24,0.4,0.08,0.08,1.45,0.48,0.0,0.24,1.29,0.0,0.0,0.0,5.73,1.77,1.45,55.0,2022-2023
Jules Kound�,FRA,DF,Barcelona,La Liga,24,1998,13,12,1031,11.5,0.0,0.52,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,71.2,79.7,89.3,1239.7,390.0,0.17,0.52,8.87,0.61,0.17,6.87,1.57,1.57,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,1.3,0.87,0.7,0.43,0.17,1.13,0.43,0.7,0.78,2.09,1.39,0.0,87.2,3.91,24.8,49.3,13.7,1.57,87.2,0.78,0.35,44.4,0.26,33.3,57.3,302.6,191.9,2.35,2.26,0.17,0.7,0.61,63.7,2.0,0.0,0.0,0.0,0.96,0.43,0.09,1.04,0.87,0.0,0.0,0.09,6.17,1.3,0.78,62.5,2022-2023
Boubakar Kouyat�,MLI,DF,Montpellier,Ligue 1,25,1997,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,63.0,84.1,1047.0,376.0,0.0,0.5,5.5,0.0,0.0,5.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,1.0,0.0,2.0,1.0,1.0,1.5,3.0,1.5,0.5,72.0,4.5,32.5,38.5,2.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,53.5,331.5,153.0,0.5,0.5,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.5,3.0,2.5,54.5,2022-2023
Cheikhou Kouyat�,SEN,MFDF,Nott'ham Forest,Premier League,33,1989,12,9,704,7.8,1.0,0.64,0.64,100.0,0.2,0.2,17.1,0.0,0.0,0.0,20.4,26.4,77.2,326.3,90.4,0.0,0.64,1.41,0.26,0.0,2.05,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.92,1.28,1.03,0.26,1.67,0.13,1.54,0.64,3.21,2.56,0.0,37.4,3.46,13.5,17.8,6.54,1.28,37.4,1.15,0.77,66.7,0.13,11.1,17.3,84.2,32.3,0.77,0.38,0.38,1.54,0.51,18.8,1.03,0.26,0.0,0.0,1.92,0.9,0.0,0.0,1.92,0.0,0.0,0.0,5.77,1.79,0.64,73.7,2022-2023
Mateo Kova?i?,CRO,MF,Chelsea,Premier League,28,1994,15,7,835,9.3,0.0,1.29,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,57.7,68.9,83.8,951.9,291.3,0.11,1.08,8.39,1.29,0.11,8.17,3.01,2.58,0.11,0.0,0.32,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.94,1.29,0.75,0.97,0.22,0.54,0.11,0.43,1.29,3.23,0.97,0.0,78.7,1.83,14.0,50.1,15.3,0.32,78.7,0.97,0.22,22.2,0.54,55.6,50.5,308.4,141.0,2.15,1.94,0.11,1.4,1.29,60.8,1.08,0.32,0.0,0.0,1.08,0.54,0.0,0.22,1.29,0.0,0.0,0.0,6.34,0.43,0.75,36.4,2022-2023
Viktor Kovalenko,UKR,MF,Spezia,Serie A,26,1996,10,5,390,4.3,0.0,1.16,0.0,0.0,0.0,0.0,19.6,0.23,0.0,0.0,31.2,38.8,80.2,472.3,103.7,0.0,1.16,0.7,0.93,0.23,3.95,1.63,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.7,0.0,1.16,0.47,2.33,0.47,1.86,0.23,1.86,1.16,0.0,49.1,1.63,8.37,25.6,15.3,2.56,49.1,0.23,0.23,100.0,0.0,0.0,25.3,99.8,36.3,0.23,0.47,0.23,1.63,0.0,31.6,4.42,0.23,0.0,0.0,1.63,1.63,0.23,1.4,0.7,0.0,0.0,0.0,3.95,0.47,2.09,18.2,2022-2023
Soichiro Kozuki,JPN,FWMF,Schalke 04,Bundesliga,22,2000,5,5,379,4.2,1.0,3.33,1.43,42.9,0.07,0.17,18.9,0.0,0.0,0.0,12.4,20.2,61.2,226.2,71.0,0.0,0.95,0.71,0.71,0.48,2.38,2.38,2.14,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.95,0.71,0.71,0.0,1.43,0.0,1.43,0.71,2.14,0.71,0.0,37.6,1.19,6.9,12.6,18.3,3.81,37.6,3.81,1.43,37.5,1.9,50.0,23.1,145.2,67.6,3.81,1.43,0.95,2.14,1.9,25.2,8.81,0.24,0.0,0.0,1.67,1.19,0.0,3.57,0.95,0.0,0.0,0.0,4.52,0.71,1.9,27.3,2022-2023
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,28,1994,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023
Alex Kr�l,CZE,MF,Schalke 04,Bundesliga,24,1998,15,12,1097,12.2,0.0,1.23,0.08,6.7,0.0,0.0,21.3,0.0,0.0,0.0,21.5,31.9,67.4,381.5,127.5,0.0,0.33,2.46,0.16,0.0,3.44,2.05,1.64,0.0,0.0,0.16,0.16,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.8,1.07,0.57,1.15,0.08,1.97,0.25,1.72,0.98,2.79,2.38,0.0,42.4,2.87,12.1,23.1,7.54,0.9,42.4,1.07,0.41,38.5,0.57,53.8,19.8,100.2,46.6,1.39,1.07,0.0,0.9,0.49,21.1,1.56,0.08,0.0,0.0,0.74,0.57,0.16,0.41,1.07,0.0,0.0,0.0,6.39,1.48,2.21,40.0,2022-2023
Moussa Doumbia,MLI,FW,Reims,Ligue 1,27,1994,4,0,86,1.0,0.0,3.0,2.0,66.7,0.0,0.0,24.1,0.0,0.0,1.0,27.0,36.0,75.0,411.0,134.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,19.0,31.0,7.0,48.0,,,,,,41.0,172.0,73.0,5.0,0.0,1.0,6.0,2.0,43.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,2021-2022
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,25,1996,27,27,2219,24.7,0.0,0.57,0.12,21.4,0.0,0.0,20.1,0.0,0.0,0.0,37.0,44.6,83.0,599.5,178.0,0.04,0.65,1.42,0.69,0.49,2.23,1.42,1.17,0.0,0.12,0.0,0.08,0.04,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.3,0.93,0.61,0.45,0.24,2.35,0.16,2.19,2.23,3.52,1.42,0.04,57.3,2.79,17.0,28.4,16.5,1.58,50.0,,,,,,38.6,208.9,122.1,5.1,1.5,0.4,1.62,1.82,35.9,2.83,0.4,0.04,0.0,0.89,1.09,0.04,1.78,0.93,0.0,0.08,0.0,5.38,0.69,0.65,51.5,2021-2022
Kieran Dowell,ENG,FWMF,Norwich City,Premier League,24,1997,19,11,912,10.1,0.1,0.79,0.2,25.0,0.13,0.5,22.1,0.3,0.0,0.0,23.3,33.9,68.7,395.8,114.4,0.1,1.58,1.78,1.49,0.59,2.38,2.28,1.78,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.68,0.69,0.59,0.79,0.3,0.99,0.1,0.89,0.89,2.57,0.2,0.0,41.7,0.59,6.44,18.7,19.4,1.68,38.5,,,,,,26.5,124.3,54.9,2.57,1.09,0.3,1.39,1.49,28.9,5.05,0.0,0.0,0.0,2.57,0.4,0.0,1.98,0.69,0.0,0.0,0.0,4.85,1.29,2.77,31.7,2021-2022
Bart?omiej Dr?gowski,POL,GK,Fiorentina,Serie A,24,1997,7,7,556,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,55.5,78.8,1265.8,623.4,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,44.8,59.2,0.65,0.0,0.0,51.8,,,,,,39.8,186.0,98.1,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,2021-2022
Radu Dr?gu?in,ROU,DF,Salernitana,Serie A,20,2002,7,5,488,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,29.3,82.3,517.0,179.4,0.0,0.19,0.74,0.0,0.0,1.11,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.74,0.93,0.19,0.19,1.67,0.74,0.93,3.89,5.19,3.7,0.0,39.6,7.22,22.2,17.8,2.22,0.74,36.3,,,,,,19.3,120.2,42.2,0.74,0.19,0.19,0.19,0.19,18.5,0.56,0.19,0.0,0.0,0.56,0.93,0.0,0.0,0.74,0.0,0.0,0.0,7.04,1.3,2.04,38.9,2021-2022
Radu Dr?gu?in,ROU,DF,Sampdoria,Serie A,20,2002,13,4,620,6.9,0.0,0.43,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,25.9,37.4,69.4,578.3,222.9,0.0,0.43,1.45,0.43,0.14,1.74,0.58,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.29,0.58,0.29,0.0,2.03,0.58,1.45,1.88,2.75,4.2,0.0,47.0,6.09,21.6,20.3,6.96,0.29,40.1,,,,,,21.0,137.5,66.5,2.32,0.72,0.0,0.43,0.43,18.8,0.58,0.14,0.0,0.0,1.3,0.72,0.14,0.43,0.29,0.0,0.0,0.0,11.9,2.46,1.16,68.0,2021-2022
Cody Drameh,ENG,DF,Leeds United,Premier League,20,2001,3,1,128,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,55.0,77.9,662.1,284.3,0.0,0.71,2.14,1.43,0.71,4.29,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,2.14,2.86,1.43,0.0,1.43,0.0,1.43,2.14,6.43,1.43,0.0,67.1,2.14,26.4,31.4,15.7,1.43,48.6,,,,,,32.1,201.4,116.4,6.43,2.86,0.0,0.0,0.71,30.0,1.43,0.71,0.0,0.0,1.43,0.0,0.0,1.43,2.14,0.0,0.0,0.0,6.43,0.0,1.43,0.0,2021-2022
Julian Draxler,GER,FWMF,Paris S-G,Ligue 1,28,1993,18,5,548,6.1,0.33,1.48,0.49,33.3,0.22,0.67,14.6,0.0,0.0,0.0,45.1,49.5,91.1,711.1,131.8,0.16,1.31,3.44,0.82,0.16,2.3,2.62,2.3,0.16,0.16,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.49,0.16,0.66,0.0,0.66,0.66,1.31,0.66,0.0,57.2,0.82,6.39,32.0,23.3,3.77,56.1,,,,,,46.7,228.2,100.8,4.92,2.13,0.66,0.98,1.8,48.7,7.38,0.0,0.0,0.0,0.82,0.16,0.16,0.66,0.66,0.0,0.0,0.0,4.26,0.33,0.66,33.3,2021-2022
Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,33,1989,16,16,1440,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,26.3,64.4,572.0,354.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,26.0,28.5,0.19,0.0,0.0,17.6,,,,,,10.8,49.8,31.6,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,2021-2022
Domingos Duarte,POR,DF,Granada,La Liga,27,1995,21,19,1687,18.7,0.05,0.32,0.05,16.7,0.17,1.0,8.7,0.0,0.0,0.0,29.3,37.5,78.1,684.5,256.7,0.0,0.05,1.93,0.0,0.0,2.14,0.37,0.32,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.48,0.59,0.43,0.05,1.76,1.12,0.64,1.39,2.46,5.24,0.16,47.9,8.45,26.4,22.8,1.5,0.64,46.3,,,,,,23.9,125.4,57.3,1.12,0.21,0.0,0.21,0.05,25.7,0.05,0.37,0.05,0.0,1.55,0.86,0.0,0.0,0.48,0.0,0.16,0.0,10.4,2.57,1.39,64.9,2021-2022
Andrej Kramari?,CRO,MFFW,Hoffenheim,Bundesliga,31,1991,19,14,1365,15.2,5.0,2.17,0.86,39.4,0.15,0.38,15.8,0.13,0.0,0.13,30.1,38.3,78.7,459.3,92.2,0.2,1.25,3.49,1.05,0.2,3.95,3.42,2.89,0.07,0.13,0.33,0.0,0.0,0.46,0.33,0.0,0.0,0.13,0.0,0.0,0.2,0.07,0.07,0.07,0.07,0.53,0.07,0.46,0.13,0.33,0.53,0.0,46.8,0.46,4.21,26.0,17.0,3.95,46.7,1.91,0.86,44.8,0.92,48.3,30.7,145.0,58.2,1.71,1.05,0.39,2.11,1.38,36.1,7.96,0.07,0.0,0.0,0.33,1.12,0.46,1.58,0.07,0.0,0.0,0.0,4.01,0.39,0.2,66.7,2022-2023
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,31,1991,18,18,1462,16.2,0.0,0.31,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,41.0,50.5,81.3,577.7,174.9,0.0,0.68,2.47,0.68,0.12,3.7,1.79,1.48,0.0,0.12,0.06,0.12,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.6,1.17,0.86,0.62,0.12,0.99,0.06,0.93,0.43,2.04,1.42,0.0,60.2,2.1,15.2,31.1,14.5,2.41,60.2,2.41,0.99,41.0,1.23,51.3,34.2,142.0,67.0,1.3,1.54,0.37,1.23,1.42,42.7,3.52,0.19,0.0,0.0,1.42,0.8,0.25,0.68,1.17,0.0,0.0,0.0,4.14,0.86,1.05,45.2,2022-2023
Tom Krau�,GER,MF,Schalke 04,Bundesliga,21,2001,20,20,1636,18.2,1.0,0.93,0.38,41.2,0.06,0.14,19.8,0.0,0.0,0.0,20.9,28.8,72.7,317.6,106.1,0.0,0.27,1.81,0.38,0.0,3.24,1.59,1.32,0.0,0.11,0.05,0.05,0.05,0.16,0.11,0.0,0.0,0.0,0.05,0.0,4.51,2.64,1.59,2.47,0.44,1.65,0.22,1.43,1.37,5.88,0.82,0.0,40.9,1.65,10.8,22.1,9.07,0.6,40.9,1.21,0.6,50.0,0.6,50.0,17.1,99.7,49.9,1.37,1.15,0.11,0.82,1.1,15.6,1.7,0.16,0.0,0.0,1.26,0.93,0.0,0.49,2.64,0.0,0.0,0.0,8.02,0.88,1.04,45.7,2022-2023
Julian Kristoffersen,NOR,FW,Salernitana,Serie A,25,1997,1,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,25.0,2022-2023
Raimonds Krollis,LVA,FW,Spezia,Serie A,21,2001,1,0,15,0.2,0.0,5.0,5.0,100.0,0.0,0.0,21.4,0.0,0.0,0.0,5.0,10.0,50.0,115.0,25.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,0.0,5.0,20.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,15.0,180.0,55.0,5.0,0.0,0.0,5.0,0.0,15.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2022-2023
Toni Kroos,GER,MF,Real Madrid,La Liga,33,1990,17,14,1219,13.5,2.0,1.26,0.44,35.3,0.12,0.33,25.5,0.15,0.0,0.0,92.6,101.9,90.9,1747.1,626.8,0.15,2.15,15.4,1.19,0.44,12.7,4.67,2.96,1.48,0.0,0.07,0.07,0.07,0.22,0.15,0.07,0.0,0.0,0.0,0.0,2.07,1.33,0.59,1.48,0.0,1.26,0.15,1.11,1.04,3.11,0.37,0.0,108.3,2.22,20.7,66.2,22.1,0.67,108.3,0.81,0.15,18.2,0.44,54.5,71.6,318.8,174.7,2.07,1.33,0.15,0.37,0.52,84.3,1.41,0.15,0.07,0.07,1.11,1.48,0.0,5.78,1.33,0.0,0.0,0.0,6.67,0.37,0.3,55.6,2022-2023
Rade Kruni?,BIH,MFFW,Milan,Serie A,29,1993,11,8,721,8.0,0.0,0.75,0.13,16.7,0.0,0.0,12.4,0.0,0.0,0.0,24.6,31.4,78.5,392.6,135.1,0.13,1.0,2.5,0.75,0.0,3.63,2.13,1.63,0.13,0.0,0.25,0.0,0.13,0.38,0.38,0.0,0.0,0.0,0.0,0.0,2.5,1.75,1.0,1.25,0.25,1.38,0.75,0.63,1.0,3.5,1.38,0.0,41.1,2.88,11.9,22.1,7.63,1.75,41.1,1.0,0.5,50.0,0.38,37.5,20.0,115.9,63.0,1.5,1.63,0.25,0.75,0.63,21.1,1.63,0.38,0.0,0.0,0.75,1.13,0.0,0.38,1.75,0.0,0.0,0.0,5.5,1.13,1.25,47.4,2022-2023
Max Kruse,GER,MFFW,Wolfsburg,Bundesliga,34,1988,5,2,272,3.0,0.0,3.0,0.67,22.2,0.0,0.0,13.9,0.0,0.0,0.0,30.0,40.3,74.4,548.0,80.0,0.0,1.0,1.33,1.0,0.33,2.33,3.33,2.67,0.0,0.33,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.0,0.67,0.33,0.33,0.0,0.33,0.33,0.0,48.0,0.67,3.67,20.7,24.0,6.0,48.0,1.33,0.67,50.0,0.67,50.0,22.7,105.7,48.7,1.33,1.0,0.33,1.33,1.0,35.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.33,0.0,0.0,0.0,3.0,2.0,0.33,85.7,2022-2023
Lukas K�bler,GER,DF,Freiburg,Bundesliga,30,1992,9,9,778,8.6,2.0,0.58,0.35,60.0,0.4,0.67,11.3,0.0,0.0,0.0,31.4,45.2,69.4,555.3,152.9,0.0,0.23,3.14,0.23,0.0,2.44,0.58,0.47,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.4,1.4,0.35,0.47,1.4,0.58,0.81,1.51,3.72,2.56,0.0,56.3,4.3,18.0,27.2,11.4,1.51,56.3,0.7,0.47,66.7,0.23,33.3,23.5,103.0,44.3,0.47,0.58,0.0,1.16,0.23,30.0,3.95,0.0,0.0,0.0,1.16,0.47,0.0,1.63,1.4,0.0,0.12,0.0,5.7,1.28,0.81,61.1,2022-2023
Takefusa Kubo,JPN,FWMF,Real Sociedad,La Liga,21,2001,17,15,1248,13.9,3.0,2.52,1.22,48.6,0.09,0.18,19.2,0.14,0.0,0.0,22.7,31.2,72.7,304.8,77.1,0.14,1.01,1.08,0.79,0.14,2.66,3.24,2.01,0.36,0.22,0.22,0.36,0.07,0.43,0.22,0.0,0.07,0.0,0.07,0.07,1.73,0.94,0.86,0.43,0.43,0.72,0.0,0.72,0.14,1.87,0.07,0.0,43.2,0.14,3.81,13.9,26.0,5.11,43.2,3.17,1.08,34.1,1.51,47.7,28.4,198.6,112.7,3.88,2.01,2.3,3.45,1.87,33.2,8.99,0.14,0.0,0.0,1.44,1.51,1.08,2.23,0.94,0.07,0.0,0.0,3.67,0.79,1.01,44.0,2022-2023
