Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,season
Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,31,31,2790,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,34.6,75.7,797.2,384.0,0.06,0.06,0.26,0.0,0.0,0.0,0.13,0.1,0.03,0.0,0.0,0.0,0.0,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,36.7,33.8,36.7,0.1,0.0,0.0,27.1,,,,,,18.5,71.9,26.9,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.06,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.03,0.0,2021-2022
Isma�lben Boura,FRA,DF,Lens,Ligue 1,21,2000,5,1,95,1.1,0.0,0.91,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,54.5,65.5,83.3,935.5,347.3,0.0,0.0,1.82,0.91,0.0,1.82,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.91,0.91,0.0,1.82,0.91,0.91,1.82,3.64,5.45,0.0,77.3,6.36,27.3,41.8,10.9,0.0,70.9,,,,,,44.5,206.4,117.3,6.36,1.82,0.0,0.0,0.0,50.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,8.18,1.82,0.91,66.7,2021-2022
Mehdi Bourabia,MAR,MF,Spezia,Serie A,30,1991,8,2,282,3.1,0.32,0.32,0.32,100.0,1.0,1.0,26.0,0.0,0.0,0.0,30.0,37.4,80.2,487.4,121.3,0.0,0.32,2.26,0.0,0.0,1.94,0.65,0.32,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0,1.61,0.65,0.65,0.97,0.0,3.87,2.58,1.29,1.94,3.55,2.58,0.32,51.3,6.45,18.7,28.4,5.48,0.0,46.1,,,,,,28.1,104.5,58.1,2.58,0.65,0.0,0.0,1.61,24.5,0.32,0.0,0.0,0.0,2.26,2.26,0.0,0.0,0.65,0.0,0.0,0.0,9.03,0.65,0.32,66.7,2021-2022
Benjamin Bourigeaud,FRA,FWMF,Rennes,Ligue 1,28,1994,38,38,3193,35.5,0.31,1.52,0.59,38.9,0.2,0.52,17.6,0.25,0.0,0.0,38.8,53.2,72.9,824.1,284.2,0.34,3.41,3.58,2.48,0.93,5.77,4.79,2.59,2.0,0.08,0.08,0.03,0.0,0.54,0.42,0.11,0.0,0.0,0.0,0.0,1.21,0.54,0.34,0.56,0.31,1.55,0.11,1.44,1.38,2.59,1.24,0.0,62.7,1.75,7.89,29.1,28.6,2.96,55.5,,,,,,39.5,165.7,90.1,4.93,1.32,0.42,1.04,0.79,43.6,5.49,0.06,0.0,0.0,0.87,0.31,0.11,3.52,0.54,0.0,0.0,0.0,5.61,0.56,1.3,30.3,2021-2022
Redwan Bourles,FRA,MFFW,Lorient,Ligue 1,19,2003,4,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,60.0,135.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,10.0,30.0,0.0,25.0,,,,,,15.0,55.0,50.0,5.0,5.0,0.0,0.0,5.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2021-2022
Edoardo Bove,ITA,MFFW,Roma,Serie A,20,2002,11,0,68,0.8,1.25,1.25,1.25,100.0,1.0,1.0,17.2,0.0,0.0,0.0,38.8,45.0,86.1,790.0,191.3,0.0,0.0,3.75,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,0.0,0.0,2.5,0.0,2.5,2.5,3.75,1.25,0.0,58.8,0.0,11.3,31.3,20.0,3.75,55.0,,,,,,38.8,188.8,76.3,3.75,1.25,0.0,2.5,0.0,35.0,2.5,0.0,0.0,0.0,1.25,3.75,0.0,2.5,1.25,0.0,0.0,0.0,10.0,0.0,3.75,0.0,2021-2022
Jarrod Bowen,ENG,FW,West Ham,Premier League,25,1996,36,34,2983,33.1,0.36,2.42,1.0,41.3,0.15,0.36,15.4,0.0,0.0,0.0,17.7,26.0,68.0,329.7,87.4,0.3,1.27,0.85,0.82,0.15,1.6,2.87,1.6,0.57,0.24,0.24,0.12,0.09,0.63,0.3,0.12,0.09,0.03,0.09,0.0,1.18,0.79,0.57,0.39,0.21,1.42,0.06,1.36,1.15,2.33,0.24,0.0,38.5,0.94,5.2,14.9,21.2,4.77,35.3,,,,,,25.6,163.6,74.0,3.93,0.97,0.97,1.84,2.02,24.3,5.77,0.18,0.0,0.0,0.79,1.54,0.39,1.72,0.79,0.06,0.0,0.0,5.86,1.21,2.36,33.9,2021-2022
Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,31,1990,23,22,1898,21.1,0.0,0.47,0.09,20.0,0.0,0.0,8.9,0.0,0.0,0.0,32.5,37.8,85.8,713.6,190.8,0.0,0.24,0.71,0.14,0.0,0.81,0.47,0.33,0.0,0.05,0.05,0.05,0.0,0.09,0.05,0.0,0.0,0.0,0.05,0.0,0.81,0.57,0.52,0.24,0.05,1.47,0.71,0.76,1.09,1.9,6.64,0.09,48.5,11.4,32.5,17.0,1.42,0.9,47.5,,,,,,24.4,124.8,55.3,0.47,0.0,0.0,0.14,0.0,28.2,0.09,0.05,0.05,0.0,0.52,0.24,0.14,0.09,0.57,0.05,0.0,0.0,7.77,3.18,1.33,70.5,2021-2022
Lucas Boy�,ARG,FW,Elche,La Liga,26,1996,24,22,1713,19.0,0.37,2.58,0.79,30.6,0.14,0.47,15.5,0.11,0.0,0.0,17.2,23.5,73.1,265.5,39.6,0.16,0.95,1.05,0.53,0.0,1.32,2.21,1.37,0.0,0.42,0.16,0.11,0.16,0.47,0.21,0.0,0.16,0.0,0.0,0.11,1.47,0.89,0.21,0.95,0.32,1.16,0.11,1.05,0.53,2.0,1.0,0.0,44.5,1.21,3.32,25.5,18.6,4.53,42.9,,,,,,33.8,137.1,66.8,3.42,1.21,0.53,6.37,3.95,32.7,7.42,0.16,0.0,0.0,2.32,2.79,0.68,0.58,0.89,0.0,0.0,0.0,4.63,1.26,4.0,24.0,2021-2022
Domagoj Bradari?,CRO,DFMF,Lille,Ligue 1,22,1999,15,2,417,4.6,0.0,0.22,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,47.2,62.8,75.1,782.2,237.0,0.0,1.09,3.04,0.43,0.22,4.35,2.17,1.74,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,1.52,1.09,0.87,0.43,1.96,0.43,1.52,3.26,5.65,2.39,0.0,73.7,2.83,21.3,36.3,21.3,1.09,62.6,,,,,,44.8,249.6,158.7,6.96,1.96,0.22,0.87,0.65,42.8,2.17,0.43,0.0,0.0,1.09,1.52,0.0,3.48,1.52,0.0,0.0,0.0,9.13,1.74,3.26,34.8,2021-2022
